Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
25601,80,-56,4,Electronics,Electronic Games,UPI
25601,66,-12,5,Clothing,Stole,UPI
25601,1275,1148,7,Furniture,Bookcases,EMI
25601,8,-2,3,Clothing,Hankerchief,Credit Card
25602,2617,1151,4,Electronics,Phones,Credit Card
25602,561,212,3,Clothing,Saree,COD
25602,424,-272,5,Electronics,Phones,COD
25602,168,-111,2,Electronics,Phones,EMI
25602,119,-5,8,Clothing,Saree,Credit Card
25603,12,1,2,Clothing,Hankerchief,COD
25603,107,36,6,Clothing,Stole,COD
25603,116,16,4,Clothing,Stole,COD
25603,180,5,3,Clothing,Trousers,Debit Card
25603,193,-166,3,Clothing,Saree,EMI
25603,38,18,1,Clothing,Kurti,COD
25603,24,-30,1,Furniture,Chairs,COD
25603,1355,-60,5,Clothing,Trousers,COD
25604,65,17,2,Clothing,T-shirt,UPI
25604,157,5,9,Clothing,Saree,UPI
25605,75,0,7,Clothing,Saree,EMI
25606,87,4,2,Clothing,Shirt,COD
25607,50,-15,4,Clothing,Leggings,COD
25608,1364,1864,5,Furniture,Tables,Credit Card
25608,476,0,3,Furniture,Chairs,COD
25608,257,23,5,Clothing,Hankerchief,COD
25608,856,385,6,Electronics,Printers,COD
25609,485,29,4,Electronics,Electronic Games,COD
25609,249,-5,4,Clothing,Saree,COD
25610,43,0,3,Clothing,Saree,Debit Card
25610,68,-55,5,Electronics,Accessories,UPI
25610,107,-54,4,Clothing,Stole,EMI
25610,30,-5,2,Furniture,Furnishings,COD
25610,781,594,6,Electronics,Printers,Debit Card
25610,1076,-38,4,Electronics,Printers,COD
25611,160,-59,2,Clothing,Saree,EMI
25612,259,-55,2,Furniture,Chairs,COD
25613,1603,0,9,Clothing,Saree,Credit Card
25614,98,-12,2,Electronics,Electronic Games,Credit Card
25614,494,54,4,Furniture,Bookcases,COD
25615,68,20,5,Clothing,Hankerchief,Debit Card
25616,14,-2,3,Clothing,Hankerchief,UPI
25616,116,-56,5,Clothing,Stole,Credit Card
25616,42,12,5,Clothing,Hankerchief,COD
25616,22,-2,3,Clothing,Hankerchief,COD
25617,305,-270,5,Electronics,Electronic Games,Debit Card
25618,12,0,2,Clothing,Hankerchief,UPI
25618,362,127,1,Furniture,Bookcases,COD
25619,353,90,8,Clothing,Saree,COD
25620,193,46,1,Electronics,Printers,Credit Card
25621,333,-15,3,Electronics,Phones,COD
25621,233,-10,5,Electronics,Electronic Games,COD
