EmpID,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
1,18-25,Yes,Travel_Rarely,230,Research & Development,3,Life Sciences,405,Male,Laboratory Technician,3,Single,25233,No,13,3,3,0,0
2,18-25,No,Travel_Rarely,812,Sales,10,Medical,411,Female,Sales Representative,3,Single,9724,No,12,3,3,0,0
3,18-25,Yes,Travel_Frequently,1306,Sales,5,Marketing,614,Male,Sales Representative,2,Single,8059,Yes,14,3,3,0,0
4,18-25,No,Non-Travel,287,Research & Development,5,Life Sciences,1012,Male,Research Scientist,4,Single,13493,No,15,3,3,0,0
5,18-25,Yes,Non-Travel,247,Research & Development,8,Medical,1156,Male,Laboratory Technician,3,Single,13556,No,12,3,3,0,0
6,18-25,No,Non-Travel,1124,Research & Development,1,Life Sciences,1368,Female,Laboratory Technician,4,Single,19305,No,15,3,4,0,0
7,18-25,Yes,Travel_Frequently,544,Sales,3,Medical,1624,Female,Sales Representative,4,Single,18420,Yes,12,3,4,0,0
8,18-25,No,Non-Travel,1431,Research & Development,14,Medical,1839,Female,Research Scientist,3,Single,8018,No,16,3,1,0,0
9,18-25,Yes,Travel_Rarely,528,Sales,22,Marketing,167,Male,Sales Representative,3,Single,26820,Yes,19,3,2,0,0
10,18-25,No,Travel_Rarely,1181,Research & Development,3,Medical,201,Female,Laboratory Technician,2,Single,16102,No,14,3,3,1,0
11,18-25,Yes,Travel_Frequently,602,Sales,1,Technical Degree,235,Female,Sales Representative,1,Single,20989,No,21,4,4,0,0
12,18-25,Yes,Travel_Rarely,303,Research & Development,2,Life Sciences,243,Male,Laboratory Technician,4,Single,9241,No,22,4,2,1,1
13,18-25,Yes,Travel_Rarely,489,Human Resources,2,Technical Degree,566,Male,Human Resources,4,Single,18437,No,12,3,4,1,0
14,18-25,Yes,Travel_Rarely,419,Sales,21,Other,959,Male,Sales Representative,2,Single,9947,Yes,13,3,4,1,0
15,18-25,No,Travel_Rarely,645,Research & Development,9,Life Sciences,1193,Male,Research Scientist,1,Single,7172,No,25,4,3,1,0
16,18-25,Yes,Non-Travel,504,Research & Development,10,Medical,1248,Female,Research Scientist,2,Single,6148,Yes,25,4,4,1,0
17,18-25,No,Travel_Rarely,265,Research & Development,25,Life Sciences,1269,Female,Research Scientist,4,Single,21221,Yes,12,3,3,1,0
18,18-25,Yes,Travel_Frequently,871,Research & Development,6,Life Sciences,137,Female,Laboratory Technician,4,Single,19783,Yes,18,3,3,1,1
19,18-25,No,Travel_Rarely,959,Research & Development,1,Life Sciences,657,Female,Research Scientist,2,Single,11757,No,13,3,4,1,0
20,18-25,Yes,Travel_Rarely,1362,Research & Development,10,Medical,701,Male,Research Scientist,3,Single,26999,Yes,11,3,3,1,1
21,18-25,Yes,Travel_Rarely,500,Sales,2,Medical,922,Female,Sales Representative,3,Single,22052,No,13,3,2,2,0
22,18-25,Yes,Travel_Rarely,129,Research & Development,4,Technical Degree,960,Male,Laboratory Technician,1,Single,13008,No,19,3,3,1,0
23,18-25,Yes,Travel_Rarely,1097,Research & Development,11,Medical,1016,Female,Research Scientist,1,Single,18275,Yes,15,3,3,1,0
24,18-25,Yes,Travel_Frequently,769,Sales,9,Marketing,1077,Female,Sales Representative,4,Single,17205,Yes,14,3,3,2,0
25,18-25,No,Travel_Rarely,805,Research & Development,3,Life Sciences,1198,Male,Laboratory Technician,3,Single,12828,No,12,3,2,2,1
26,18-25,No,Travel_Rarely,654,Sales,21,Marketing,1226,Male,Sales Representative,4,Single,5050,No,17,3,3,2,2
27,18-25,No,Travel_Rarely,1141,Sales,2,Medical,1657,Female,Sales Representative,3,Single,13251,No,19,3,3,2,2
28,18-25,No,Travel_Rarely,727,Sales,9,Life Sciences,1680,Male,Sales Representative,1,Single,21082,No,11,3,3,2,0
